"winner";"rated";"turns";"victory_status";"white_rating";"black_rating";"opening_ply";"matchtime";"increment";"ECO";"firstmove";"firstresponse";"diffELO";"king.moves";"queen.moves";"rook.moves";"knight.moves";"bishop.moves";"takes";"w.castle";"b.castle";"checks";"material"
"white";0;13;"outoftime";1500;1191;5;15;2;"D";"Unusual";"Usual";407.838062924121;0;0;0;2;-1;1;"no castle";"no castle";-1;0
"black";1;16;"resign";1322;1261;4;5;10;"B";"Unusual";"Unusual";78.4796421961752;0;2;0;-4;-1;-1;"no castle";"no castle";0;10
"white";1;61;"mate";1496;1500;3;5;10;"C";"Usual";"Usual";-5.65576804441703;-13;2;3;0;7;11;"no castle";"no castle";8;-14
"white";1;61;"mate";1439;1454;3;20;0;"D";"Unusual";"Usual";-20.7325724861197;-10;8;3;1;-1;6;"castle";"castle";12;-2
"white";1;95;"mate";1523;1469;5;30;3;"C";"Usual";"Usual";76.2862430598396;-7;0;6;2;-2;4;"castle";"castle";0;11
"white";1;33;"resign";1520;1423;10;10;0;"D";"Unusual";"Usual";135.56662553979;-1;2;-1;-1;3;0;"castle";"no castle";0;0
"black";0;9;"resign";1413;2108;5;15;30;"B";"Usual";"Unusual";-1095.23596545342;0;0;0;-3;0;0;"no castle";"no castle";0;0
"black";1;66;"resign";1439;1392;6;15;0;"C";"Usual";"Usual";64.0632325724861;4;0;-1;-4;1;-2;"castle";"castle";-6;4
"white";1;119;"mate";1381;1209;4;10;0;"B";"Usual";"Unusual";221.658235657002;-5;3;0;6;-3;1;"no castle";"no castle";-5;14
"white";0;39;"mate";1381;1272;1;20;60;"A";"Unusual";"Unusual";142.587600246761;0;-2;2;1;1;1;"castle";"castle";1;3
"black";0;38;"resign";1381;1867;9;20;60;"C";"Usual";"Usual";-724.952498457742;2;-3;2;-2;0;-2;"no castle";"no castle";-4;-3
"black";0;60;"resign";1381;1936;3;5;40;"C";"Usual";"Usual";-839.690006169031;0;1;1;-2;-5;-2;"castle";"castle";1;-3
"black";0;31;"resign";1381;1607;2;8;0;"C";"Usual";"Usual";-318.993214065392;0;8;0;-7;-2;-1;"no castle";"no castle";0;-1
"white";0;31;"mate";1094;1141;8;15;15;"C";"Usual";"Usual";-55.4228871067242;-1;3;-3;2;2;1;"castle";"castle";2;1
"black";0;43;"resign";1141;1094;7;15;15;"C";"Usual";"Usual";55.4228871067242;1;-3;3;1;-1;-2;"castle";"castle";-4;-1
"black";0;52;"resign";1094;1141;8;15;15;"C";"Usual";"Usual";-55.4228871067242;2;4;0;-4;-3;-1;"castle";"castle";-1;-3
"black";0;66;"mate";1141;1094;8;15;16;"C";"Usual";"Usual";55.4228871067242;6;-7;-3;-5;4;-3;"castle";"castle";-5;10
"black";0;101;"resign";1094;1300;5;15;15;"C";"Usual";"Usual";-253.020357803825;-7;0;0;1;-2;0;"castle";"castle";9;-11
"white";0;25;"resign";1500;1094;2;11;0;"D";"Unusual";"Usual";523.717458359038;0;0;0;-3;4;2;"castle";"no castle";-1;3
"black";0;14;"resign";1094;1676;6;15;15;"C";"Usual";"Usual";-782.34299814929;0;0;0;-2;0;-1;"castle";"no castle";0;0
"white";0;17;"resign";1500;1094;3;15;5;"B";"Usual";"Usual";523.717458359038;0;0;0;3;0;1;"castle";"no castle";0;1
"white";1;36;"resign";1307;1106;4;10;0;"A";"Unusual";"Unusual";248.057063541024;0;-2;-2;2;1;2;"castle";"castle";1;-1
"black";1;13;"resign";1113;1423;3;10;0;"B";"Usual";"Usual";-394.336829117828;0;2;0;0;1;0;"no castle";"no castle";0;0
"white";1;69;"mate";1078;1219;4;10;10;"D";"Unusual";"Usual";-168.965144972239;-12;3;2;4;2;2;"castle";"castle";10;5
"white";1;43;"resign";1825;1079;8;10;10;"C";"Usual";"Usual";1033.63109191857;-3;2;1;3;-2;1;"castle";"no castle";4;9
"black";1;54;"mate";1328;1038;4;10;10;"D";"Unusual";"Usual";353.689080814312;6;5;0;-9;-2;-4;"no castle";"no castle";-5;6
"black";1;53;"resign";1056;1156;4;10;10;"D";"Unusual";"Usual";-117.211597779149;-1;-3;1;2;0;3;"castle";"castle";1;13
"black";1;66;"mate";1077;1148;4;10;10;"D";"Unusual";"Usual";-83.5049352251696;-2;5;-3;1;1;0;"castle";"castle";1;5
